,Domain,Type,TLD Manager
413,.eurovision,generic,European Broadcasting Union (EBU)
414,.eus,generic,Puntueus Fundazioa
415,.events,generic,"Binky Moon, LLC"
416,.everbank,generic,Not assigned
417,.exchange,generic,"Binky Moon, LLC"
418,.expert,generic,"Binky Moon, LLC"
419,.exposed,generic,"Binky Moon, LLC"
420,.express,generic,"Binky Moon, LLC"
421,.extraspace,generic,Extra Space Storage LLC
422,.fage,generic,Fage International S.A.
423,.fail,generic,"Binky Moon, LLC"
424,.fairwinds,generic,"FairWinds Partners, LLC"
425,.faith,generic,dot Faith Limited
426,.family,generic,United TLD Holdco Ltd.
427,.fan,generic,Asiamix Digital Ltd
428,.fans,generic,ZDNS International Limited
429,.farm,generic,"Binky Moon, LLC"
430,.farmers,generic,Farmers Insurance Exchange
431,.fashion,generic,Minds + Machines Group Limited
432,.fast,generic,"Amazon Registry Services, Inc."
433,.fedex,generic,Federal Express Corporation
434,.feedback,generic,"Top Level Spectrum, Inc."
435,.ferrari,generic,Fiat Chrysler Automobiles N.V.
436,.ferrero,generic,Ferrero Trading Lux S.A.
437,.fi,country-code,Finnish Transport and Communications Agency Traficom
438,.fiat,generic,Fiat Chrysler Automobiles N.V.
439,.fidelity,generic,Fidelity Brokerage Services LLC
440,.fido,generic,Rogers Communications Canada Inc.
441,.film,generic,Motion Picture Domain Registry Pty Ltd
442,.final,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
443,.finance,generic,"Binky Moon, LLC"
444,.financial,generic,"Binky Moon, LLC"
445,.fire,generic,"Amazon Registry Services, Inc."
446,.firestone,generic,"Bridgestone Licensing Services, Inc."
447,.firmdale,generic,Firmdale Holdings Limited
448,.fish,generic,"Binky Moon, LLC"
449,.fishing,generic,Minds + Machines Group Limited
450,.fit,generic,Minds + Machines Group Limited
451,.fitness,generic,"Binky Moon, LLC"
452,.fj,country-code,The University of the South Pacific
453,.fk,country-code,Falkland Islands Government
454,.flickr,generic,Yahoo! Domain Services Inc.
455,.flights,generic,"Binky Moon, LLC"
456,.flir,generic,"FLIR Systems, Inc."
457,.florist,generic,"Binky Moon, LLC"
458,.flowers,generic,"Uniregistry, Corp."
459,.flsmidth,generic,Retired
460,.fly,generic,Charleston Road Registry Inc.
461,.fm,country-code,FSM Telecommunications Corporation
462,.fo,country-code,FO Council
463,.foo,generic,Charleston Road Registry Inc.
464,.food,generic,"Lifestyle Domain Holdings, Inc."
465,.foodnetwork,generic,"Lifestyle Domain Holdings, Inc."
466,.football,generic,"Binky Moon, LLC"
467,.ford,generic,Ford Motor Company
468,.forex,generic,DOTFOREX REGISTRY LTD
469,.forsale,generic,"United TLD Holdco, LLC"
470,.forum,generic,"Fegistry, LLC"
471,.foundation,generic,"Binky Moon, LLC"
472,.fox,generic,"FOX Registry, LLC"
473,.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
474,.free,generic,"Amazon Registry Services, Inc."
475,.fresenius,generic,Fresenius Immobilien-Verwaltungs-GmbH
476,.frl,generic,FRLregistry B.V.
477,.frogans,generic,OP3FT
478,.frontdoor,generic,"Lifestyle Domain Holdings, Inc."
479,.frontier,generic,Frontier Communications Corporation
480,.ftr,generic,Frontier Communications Corporation
481,.fujitsu,generic,Fujitsu Limited
482,.fujixerox,generic,Xerox DNHC LLC
483,.fun,generic,"DotSpace, Inc."
484,.fund,generic,"Binky Moon, LLC"
485,.furniture,generic,"Binky Moon, LLC"
486,.futbol,generic,"United TLD Holdco, Ltd."
487,.fyi,generic,"Binky Moon, LLC"
488,.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)
489,.gal,generic,Asociación puntoGAL
490,.gallery,generic,"Binky Moon, LLC"
491,.gallo,generic,"Gallo Vineyards, Inc."
492,.gallup,generic,"Gallup, Inc."
493,.game,generic,"Uniregistry, Corp."
494,.games,generic,United TLD Holdco Ltd.
495,.gap,generic,"The Gap, Inc."
496,.garden,generic,Minds + Machines Group Limited
497,.gay,generic,"Top Level Design, LLC"
498,.gb,country-code,Reserved Domain - IANA
499,.gbiz,generic,Charleston Road Registry Inc.
500,.gd,country-code,The National Telecommunications Regulatory Commission (NTRC)
501,.gdn,generic,"Joint Stock Company ""Navigation-information systems"""
502,.ge,country-code,Caucasus Online LLC
503,.gea,generic,GEA Group Aktiengesellschaft
504,.gent,generic,Combell nv
505,.genting,generic,Resorts World Inc. Pte. Ltd.
506,.george,generic,"Wal-Mart Stores, Inc."
507,.gf,country-code,Net Plus
508,.gg,country-code,Island Networks Ltd.
509,.ggee,generic,"GMO Internet, Inc."
510,.gh,country-code,Network Computer Systems Limited
511,.gi,country-code,Sapphire Networks
512,.gift,generic,"Uniregistry, Corp."
513,.gifts,generic,"Binky Moon, LLC"
514,.gives,generic,United TLD Holdco Ltd.
515,.giving,generic,Giving Limited
516,.gl,country-code,TELE Greenland A/S
517,.glade,generic,"Johnson Shareholdings, Inc."
518,.glass,generic,"Binky Moon, LLC"
519,.gle,generic,Charleston Road Registry Inc.
520,.global,generic,Dot Global Domain Registry Limited
521,.globo,generic,Globo Comunicação e Participações S.A
522,.gm,country-code,GM-NIC
523,.gmail,generic,Charleston Road Registry Inc.
524,.gmbh,generic,"Binky Moon, LLC"
525,.gmo,generic,"GMO Internet, Inc."
526,.gmx,generic,1&1 Mail & Media GmbH
527,.gn,country-code,Centre National des Sciences Halieutiques de Boussoura
528,.godaddy,generic,"Go Daddy East, LLC"
529,.gold,generic,"Binky Moon, LLC"
530,.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD."
531,.golf,generic,"Binky Moon, LLC"
532,.goo,generic,NTT Resonant Inc.
533,.goodhands,generic,Not assigned
534,.goodyear,generic,The Goodyear Tire & Rubber Company
535,.goog,generic,Charleston Road Registry Inc.
536,.google,generic,Charleston Road Registry Inc.
537,.gop,generic,"Republican State Leadership Committee, Inc."
538,.got,generic,"Amazon Registry Services, Inc."
539,.gov,sponsored,General Services Administration
540,.gp,country-code,Networking Technologies Group
541,.gq,country-code,GETESA
542,.gr,country-code,ICS-FORTH GR
543,.grainger,generic,"Grainger Registry Services, LLC"
544,.graphics,generic,"Binky Moon, LLC"
545,.gratis,generic,"Binky Moon, LLC"
546,.green,generic,Afilias Limited
547,.gripe,generic,"Binky Moon, LLC"
548,.grocery,generic,"Wal-Mart Stores, Inc."
549,.group,generic,"Binky Moon, LLC"
550,.gs,country-code,Government of South Georgia and South Sandwich Islands (GSGSSI)
551,.gt,country-code,Universidad del Valle de Guatemala
552,.gu,country-code,University of Guam
553,.guardian,generic,The Guardian Life Insurance Company of America
554,.gucci,generic,Guccio Gucci S.p.a.
555,.guge,generic,Charleston Road Registry Inc.
556,.guide,generic,"Binky Moon, LLC"
557,.guitars,generic,"Uniregistry, Corp."
558,.guru,generic,"Binky Moon, LLC"
559,.gw,country-code,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau
560,.gy,country-code,University of Guyana
561,.hair,generic,L'Oreal
562,.hamburg,generic,Hamburg Top-Level-Domain GmbH
563,.hangout,generic,Charleston Road Registry Inc.
564,.haus,generic,"United TLD Holdco, LTD."
565,.hbo,generic,"HBO Registry Services, Inc."
566,.hdfc,generic,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
567,.hdfcbank,generic,HDFC Bank Limited
568,.health,generic,"DotHealth, LLC"
569,.healthcare,generic,"Binky Moon, LLC"
570,.help,generic,"Uniregistry, Corp."
571,.helsinki,generic,City of Helsinki
572,.here,generic,Charleston Road Registry Inc.
573,.hermes,generic,Hermes International
574,.hgtv,generic,"Lifestyle Domain Holdings, Inc."
575,.hiphop,generic,"Uniregistry, Corp."
576,.hisamitsu,generic,"Hisamitsu Pharmaceutical Co.,Inc."
577,.hitachi,generic,"Hitachi, Ltd."
578,.hiv,generic,"Uniregistry, Corp."
579,.hk,country-code,Hong Kong Internet Registration Corporation Ltd.
580,.hkt,generic,PCCW-HKT DataCom Services Limited
581,.hm,country-code,HM Domain Registry
582,.hn,country-code,Red de Desarrollo Sostenible Honduras
583,.hockey,generic,"Binky Moon, LLC"
584,.holdings,generic,"Binky Moon, LLC"
585,.holiday,generic,"Binky Moon, LLC"
586,.homedepot,generic,"Home Depot Product Authority, LLC"
587,.homegoods,generic,"The TJX Companies, Inc."
588,.homes,generic,"DERHomes, LLC"
589,.homesense,generic,"The TJX Companies, Inc."
590,.honda,generic,"Honda Motor Co., Ltd."
591,.honeywell,generic,Not assigned
592,.horse,generic,Minds + Machines Group Limited
593,.hospital,generic,"Binky Moon, LLC"
594,.host,generic,DotHost Inc.
595,.hosting,generic,"Uniregistry, Corp."
596,.hot,generic,"Amazon Registry Services, Inc."
597,.hoteles,generic,Travel Reservations SRL
598,.hotels,generic,Booking.com B.V.
599,.hotmail,generic,Microsoft Corporation
600,.house,generic,"Binky Moon, LLC"
601,.how,generic,Charleston Road Registry Inc.
602,.hr,country-code,CARNet - Croatian Academic and Research Network
603,.hsbc,generic,HSBC Global Services (UK) Limited
604,.ht,country-code,Consortium FDS/RDDH
605,.htc,generic,Not assigned
606,.hu,country-code,Council of Hungarian Internet Providers (CHIP)
607,.hughes,generic,Hughes Satellite Systems Corporation
608,.hyatt,generic,"Hyatt GTLD, L.L.C."
609,.hyundai,generic,Hyundai Motor Company
610,.ibm,generic,International Business Machines Corporation
611,.icbc,generic,Industrial and Commercial Bank of China Limited
612,.ice,generic,"IntercontinentalExchange, Inc."
613,.icu,generic,Shortdot SA
614,.id,country-code,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
615,.ie,country-code,University College Dublin
616,.ieee,generic,IEEE Global LLC
617,.ifm,generic,ifm electronic gmbh
618,.iinet,generic,Retired
619,.ikano,generic,Ikano S.A.
620,.il,country-code,Internet Society of Israel
621,.im,country-code,Isle of Man Government
622,.imamat,generic,Fondation Aga Khan (Aga Khan Foundation)
623,.imdb,generic,"Amazon Registry Services, Inc."
624,.immo,generic,"Binky Moon, LLC"
625,.immobilien,generic,United TLD Holdco Ltd.
626,.in,country-code,National Internet Exchange of India
627,.inc,generic,Intercap Holdings Inc.
628,.industries,generic,"Binky Moon, LLC"
629,.infiniti,generic,"NISSAN MOTOR CO., LTD."
630,.info,generic,Afilias Limited
631,.ing,generic,Charleston Road Registry Inc.
632,.ink,generic,"Top Level Design, LLC"
633,.institute,generic,"Binky Moon, LLC"
634,.insurance,generic,fTLD Registry Services LLC
635,.insure,generic,"Binky Moon, LLC"
