,Domain,Type,TLD Manager
1257,.tirol,generic,punkt Tirol GmbH
1258,.tj,country-code,Information Technology Center
1259,.tjmaxx,generic,"The TJX Companies, Inc."
1260,.tjx,generic,"The TJX Companies, Inc."
1261,.tk,country-code,Telecommunication Tokelau Corporation (Teletok)
1262,.tkmaxx,generic,"The TJX Companies, Inc."
1263,.tl,country-code,Autoridade Nacional de Comunicações
1264,.tm,country-code,TM Domain Registry Ltd
1265,.tmall,generic,Alibaba Group Holding Limited
1266,.tn,country-code,Agence Tunisienne d'Internet
1267,.to,country-code,Government of the Kingdom of Tonga
1268,.today,generic,"Binky Moon, LLC"
1269,.tokyo,generic,"GMO Registry, Inc."
1270,.tools,generic,"Binky Moon, LLC"
1271,.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd."
1272,.toray,generic,"Toray Industries, Inc."
1273,.toshiba,generic,TOSHIBA Corporation
1274,.total,generic,Total SA
1275,.tours,generic,"Binky Moon, LLC"
1276,.town,generic,"Binky Moon, LLC"
1277,.toyota,generic,TOYOTA MOTOR CORPORATION
1278,.toys,generic,"Binky Moon, LLC"
1279,.tp,country-code,Retired
1280,.tr,country-code,Bilgi Teknolojileri ve İletişim Kurumu (BTK)
1281,.trade,generic,Elite Registry Limited
1282,.trading,generic,DOTTRADING REGISTRY LTD
1283,.training,generic,"Binky Moon, LLC"
1284,.travel,sponsored,"Dog	Beach, LLC"
1285,.travelchannel,generic,"Lifestyle Domain Holdings, Inc."
1286,.travelers,generic,"Travelers TLD, LLC"
1287,.travelersinsurance,generic,"Travelers TLD, LLC"
1288,.trust,generic,Artemis Internet Inc
1289,.trv,generic,"Travelers TLD, LLC"
1290,.tt,country-code,University of the West Indies
1291,.tube,generic,Latin American Telecom LLC
1292,.tui,generic,TUI AG
1293,.tunes,generic,"Amazon Registry Services, Inc."
1294,.tushu,generic,"Amazon Registry Services, Inc."
1295,.tv,country-code,Ministry of Finance and Tourism
1296,.tvs,generic,T V SUNDRAM IYENGAR  & SONS PRIVATE LIMITED
1297,.tw,country-code,Taiwan Network Information Center (TWNIC)
1298,.tz,country-code,Tanzania Communications Regulatory Authority
1299,.ua,country-code,Hostmaster Ltd.
1300,.ubank,generic,National Australia Bank Limited
1301,.ubs,generic,UBS AG
1302,.uconnect,generic,Not assigned
1303,.ug,country-code,Uganda Online Ltd.
1304,.uk,country-code,Nominet UK
1305,.um,country-code,Not assigned
1306,.unicom,generic,China United Network Communications Corporation Limited
1307,.university,generic,"Binky Moon, LLC"
1308,.uno,generic,DotSite Inc.
1309,.uol,generic,UBN INTERNET LTDA.
1310,.ups,generic,"UPS Market Driver, Inc."
1311,.us,country-code,"NeuStar, Inc."
1312,.uy,country-code,SeCIU - Universidad de la Republica
1313,.uz,country-code,Single Integrator for Creation and Support of State Information Systems UZINFOCOM
1314,.va,country-code,Holy See - Vatican City State
1315,.vacations,generic,"Binky Moon, LLC"
1316,.vana,generic,"Lifestyle Domain Holdings, Inc."
1317,.vanguard,generic,"The Vanguard Group, Inc."
1318,.vc,country-code,"Ministry of Telecommunications, Science, Technology and Industry"
1319,.ve,country-code,Comisión Nacional de Telecomunicaciones (CONATEL)
1320,.vegas,generic,"Dot Vegas, Inc."
1321,.ventures,generic,"Binky Moon, LLC"
1322,.verisign,generic,"VeriSign, Inc."
1323,.versicherung,generic,TLD-BOX Registrydienstleistungen GmbH
1324,.vet,generic,"United TLD Holdco, Ltd"
1325,.vg,country-code,Telecommunications Regulatory Commission of the Virgin Islands
1326,.vi,country-code,"Virgin Islands Public Telecommunications System, Inc."
1327,.viajes,generic,"Binky Moon, LLC"
1328,.video,generic,"United TLD Holdco, Ltd"
1329,.vig,generic,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe
1330,.viking,generic,Viking River Cruises (Bermuda) Ltd.
1331,.villas,generic,"Binky Moon, LLC"
1332,.vin,generic,"Binky Moon, LLC"
1333,.vip,generic,Minds + Machines Group Limited
1334,.virgin,generic,Virgin Enterprises Limited
1335,.visa,generic,Visa Worldwide Pte. Limited
1336,.vision,generic,"Binky Moon, LLC"
1337,.vista,generic,Not assigned
1338,.vistaprint,generic,Not assigned
1339,.viva,generic,Saudi Telecom Company
1340,.vivo,generic,Telefonica Brasil S.A.
1341,.vlaanderen,generic,DNS.be vzw
1342,.vn,country-code,Viet Nam Internet Network Information Center (VNNIC)
1343,.vodka,generic,Minds + Machines Group Limited
1344,.volkswagen,generic,Volkswagen Group of America Inc.
1345,.volvo,generic,Volvo Holding Sverige Aktiebolag
1346,.vote,generic,Monolith Registry LLC
1347,.voting,generic,Valuetainment Corp.
1348,.voto,generic,Monolith Registry LLC
1349,.voyage,generic,"Binky Moon, LLC"
1350,.vu,country-code,Telecommunications Radiocommunications and Broadcasting Regulator (TRBR)
1351,.vuelos,generic,Travel Reservations SRL
1352,.wales,generic,Nominet UK
1353,.walmart,generic,"Wal-Mart Stores, Inc."
1354,.walter,generic,Sandvik AB
1355,.wang,generic,Zodiac Wang Limited
1356,.wanggou,generic,"Amazon Registry Services, Inc."
1357,.warman,generic,Not assigned
1358,.watch,generic,"Binky Moon, LLC"
1359,.watches,generic,Richemont DNS Inc.
1360,.weather,generic,International Business Machines Corporation
1361,.weatherchannel,generic,International Business Machines Corporation
1362,.webcam,generic,dot Webcam Limited
1363,.weber,generic,Saint-Gobain Weber SA
1364,.website,generic,DotWebsite Inc.
1365,.wed,generic,Emergency Back-End Registry Operator Program - ICANN
1366,.wedding,generic,Minds + Machines Group Limited
1367,.weibo,generic,Sina Corporation
1368,.weir,generic,Weir Group IP Limited
1369,.wf,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1370,.whoswho,generic,Who's Who Registry
1371,.wien,generic,punkt.wien GmbH
1372,.wiki,generic,"Top Level Design, LLC"
1373,.williamhill,generic,William Hill Organization Limited
1374,.win,generic,First Registry Limited
1375,.windows,generic,Microsoft Corporation
1376,.wine,generic,"Binky Moon, LLC"
1377,.winners,generic,"The TJX Companies, Inc."
1378,.wme,generic,"William Morris Endeavor Entertainment, LLC"
1379,.wolterskluwer,generic,Wolters Kluwer N.V.
1380,.woodside,generic,Woodside Petroleum Limited
1381,.work,generic,Minds + Machines Group Limited
1382,.works,generic,"Binky Moon, LLC"
1383,.world,generic,"Binky Moon, LLC"
1384,.wow,generic,"Amazon Registry Services, Inc."
1385,.ws,country-code,Government of Samoa Ministry of Foreign Affairs & Trade
1386,.wtc,generic,"World Trade Centers Association, Inc."
1387,.wtf,generic,"Binky Moon, LLC"
1388,.xbox,generic,Microsoft Corporation
1389,.xerox,generic,Xerox DNHC LLC
1390,.xfinity,generic,"Comcast IP Holdings I, LLC"
1391,.xihuan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1392,.xin,generic,Elegant Leader Limited
1393,.测试,test,Internet Assigned Numbers Authority
1394,.कॉम,generic,VeriSign Sarl
1395,.परीक्षा,test,Internet Assigned Numbers Authority
1396,.セール,generic,"Amazon Registry Services, Inc."
1397,.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
1398,.ಭಾರತ,country-code,National Internet eXchange of India
1399,.慈善,generic,Excellent First Limited
1400,.集团,generic,Eagle Horizon Limited
1401,.在线,generic,TLD REGISTRY LIMITED
1402,.한국,country-code,KISA (Korea Internet & Security Agency)
1403,.ଭାରତ,country-code,National Internet eXchange of India
1404,.大众汽车,generic,"Volkswagen (China) Investment Co., Ltd."
1405,.点看,generic,VeriSign Sarl
1406,.คอม,generic,VeriSign Sarl
1407,.ভাৰত,country-code,National Internet eXchange of India
1408,.ভারত,country-code,National Internet Exchange of India
1409,.八卦,generic,Zodiac Gemini Ltd
1410,‏.ישראל‎,country-code,Not assigned
1411,‏.موقع‎,generic,Suhub Electronic Establishment
1412,.বাংলা,country-code,Posts and Telecommunications Division
1413,.公益,generic,China Organizational Name Administration Center
1414,.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
1415,.香格里拉,generic,Shangri‐La International Hotel Management Limited
1416,.网站,generic,Global Website TLD Asia Limited
1417,.移动,generic,Afilias Limited
1418,.我爱你,generic,Tycoon Treasure Limited
1419,.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
1420,.испытание,test,Internet Assigned Numbers Authority
1421,.қаз,country-code,Association of IT Companies of Kazakhstan
1422,.католик,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1423,.онлайн,generic,CORE Association
1424,.сайт,generic,CORE Association
1425,.联通,generic,China United Network Communications Corporation Limited
1426,.срб,country-code,Serbian National Internet Domain Registry (RNIDS)
1427,.бг,country-code,Imena.BG AD
1428,.бел,country-code,"Reliable Software, Ltd."
1429,‏.קום‎,generic,VeriSign Sarl
1430,.时尚,generic,RISE VICTORY LIMITED
1431,.微博,generic,Sina Corporation
1432,.테스트,test,Internet Assigned Numbers Authority
1433,.淡马锡,generic,Temasek Holdings (Private) Limited
1434,.ファッション,generic,"Amazon Registry Services, Inc."
1435,.орг,generic,Public Interest Registry
1436,.नेट,generic,VeriSign Sarl
1437,.ストア,generic,"Amazon Registry Services, Inc."
1438,.アマゾン,generic,"Amazon Registry Services, Inc."
1439,.삼성,generic,"SAMSUNG SDS CO., LTD"
1440,.சிங்கப்பூர்,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1441,.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED
1442,.商店,generic,"Binky Moon, LLC"
1443,.商城,generic,Zodiac Aquarius Limited
1444,.дети,generic,The Foundation for Network Initiatives “The Smart Internet”
1445,.мкд,country-code,Macedonian Academic Research Network Skopje
1446,‏.טעסט‎,test,Internet Assigned Numbers Authority
1447,.ею,country-code,EURid vzw/asbl
1448,.ポイント,generic,"Amazon Registry Services, Inc."
1449,.新闻,generic,"Guangzhou YU Wei Information and Technology Co.,Ltd"
1450,.工行,generic,Not assigned
1451,.家電,generic,"Amazon Registry Services, Inc."
1452,‏.كوم‎,generic,VeriSign Sarl
1453,.中文网,generic,TLD REGISTRY LIMITED
1454,.中信,generic,CITIC Group Corporation
1455,.中国,country-code,China Internet Network Information Center (CNNIC)
1456,.中國,country-code,China Internet Network Information Center (CNNIC)
1457,.娱乐,generic,"Binky Moon, LLC"
1458,.谷歌,generic,Charleston Road Registry Inc.
1459,.భారత్,country-code,National Internet Exchange of India
1460,.ලංකා,country-code,LK Domain Registry
1461,.電訊盈科,generic,PCCW Enterprises Limited
1462,.购物,generic,Minds + Machines Group Limited
1463,.測試,test,Internet Assigned Numbers Authority
1464,.クラウド,generic,"Amazon Registry Services, Inc."
1465,.ભારત,country-code,National Internet Exchange of India
1466,.通販,generic,"Amazon Registry Services, Inc."
1467,.भारतम्,country-code,National Internet eXchange of India
1468,.भारत,country-code,National Internet Exchange of India
1469,.भारोत,country-code,National Internet eXchange of India
1470,‏.آزمایشی‎,test,Internet Assigned Numbers Authority
1471,.பரிட்சை,test,Internet Assigned Numbers Authority
1472,.网店,generic,Zodiac Taurus Ltd.
1473,.संगठन,generic,Public Interest Registry
1474,.餐厅,generic,HU YI GLOBAL INFORMATION RESOURCES (HOLDING) COMPANY. HONGKONG LIMITED
1475,.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
1476,.ком,generic,VeriSign Sarl
1477,.укр,country-code,"Ukrainian Network Information Centre (UANIC), Inc."
1478,.香港,country-code,Hong Kong Internet Registration Corporation Ltd.
1479,.亚马逊,generic,"Amazon Registry Services, Inc."
1480,.诺基亚,generic,Nokia Corporation
1481,.食品,generic,"Amazon Registry Services, Inc."
1482,.δοκιμή,test,Internet Assigned Numbers Authority
1483,.飞利浦,generic,Koninklijke Philips N.V.
1484,‏.إختبار‎,test,Internet Assigned Numbers Authority
1485,.台湾,country-code,Taiwan Network Information Center (TWNIC)
1486,.台灣,country-code,Taiwan Network Information Center (TWNIC)
1487,.手表,generic,Richemont DNS Inc.
1488,.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd"
1489,.мон,country-code,"Datacom Co.,Ltd"
1490,‏.الجزائر‎,country-code,CERIST
1491,‏.عمان‎,country-code,Telecommunications Regulatory Authority (TRA)
1492,‏.ارامكو‎,generic,Aramco Services Company
1493,‏.ایران‎,country-code,Institute for Research in Fundamental Sciences (IPM)
1494,‏.العليان‎,generic,Crescent Holding GmbH
1495,‏.اتصالات‎,generic,Emirates Telecommunications Corporation (trading as Etisalat)
1496,‏.امارات‎,country-code,Telecommunications Regulatory Authority (TRA)
1497,‏.بازار‎,generic,CORE Association
1498,‏.موريتانيا‎,country-code,Université de Nouakchott Al Aasriya
1499,‏.پاکستان‎,country-code,National Telecommunication Corporation
1500,‏.الاردن‎,country-code,National Information Technology Center (NITC)
1501,‏.موبايلي‎,generic,Not assigned
1502,‏.بارت‎,country-code,National Internet eXchange of India
1503,‏.بھارت‎,country-code,National Internet Exchange of India
1504,‏.المغرب‎,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
1505,‏.ابوظبي‎,generic,Abu Dhabi Systems and Information Centre
1506,‏.البحرين‎,country-code,Telecommunications Regulatory Authority (TRA)
1507,‏.السعودية‎,country-code,Communications and Information Technology Commission
1508,‏.ڀارت‎,country-code,National Internet eXchange of India
1509,‏.كاثوليك‎,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1510,‏.سودان‎,country-code,Sudan Internet Society
1511,‏.همراه‎,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1512,‏.عراق‎,country-code,Communications and Media Commission (CMC)
1513,‏.مليسيا‎,country-code,MYNIC Berhad
1514,.澳門,country-code,Macao Post and Telecommunications Bureau (CTT)
1515,.닷컴,generic,VeriSign Sarl
1516,.政府,generic,"Net-Chinese Co., Ltd."
1517,‏.شبكة‎,generic,International Domain Registry Pty. Ltd.
1518,‏.بيتك‎,generic,Kuwait Finance House
1519,‏.عرب‎,generic,League of Arab States
1520,.გე,country-code,Information Technologies Development Center (ITDC)
1521,.机构,generic,Public Interest Registry
1522,.组织机构,generic,Public Interest Registry
1523,.健康,generic,Stable Tone Limited
1524,.ไทย,country-code,Thai Network Information Center Foundation
1525,‏.سورية‎,country-code,National Agency for Network Services (NANS)
1526,.招聘,generic,Dot Trademark TLD Holding Company Limited
1527,.рус,generic,Rusnames Limited
1528,.рф,country-code,Coordination Center for TLD RU
1529,.珠宝,generic,Richemont DNS Inc.
1530,‏.تونس‎,country-code,Agence Tunisienne d'Internet
1531,.大拿,generic,VeriSign Sarl
1532,.ລາວ,country-code,Lao National Internet Center (LANIC)
1533,.みんな,generic,Charleston Road Registry Inc.
1534,.グーグル,generic,Charleston Road Registry Inc.
1535,.ευ,country-code,EURid vzw/asbl
1536,.ελ,country-code,ICS-FORTH GR
1537,.世界,generic,Stable Tone Limited
1538,.書籍,generic,"Amazon Registry Services, Inc."
1539,.ഭാരതം,country-code,National Internet eXchange of India
1540,.ਭਾਰਤ,country-code,National Internet Exchange of India
1541,.网址,generic,"KNET Co., Ltd"
1542,.닷넷,generic,VeriSign Sarl
1543,.コム,generic,VeriSign Sarl
1544,.天主教,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1545,.游戏,generic,"Binky Moon, LLC"
1546,.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1547,.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1548,.企业,generic,"Binky Moon, LLC"
1549,.信息,generic,"Beijing Tele-info Network Technology Co., Ltd."
1550,.嘉里大酒店,generic,Kerry Trading Co. Limited
1551,.嘉里,generic,Kerry Trading Co. Limited
1552,‏.مصر‎,country-code,National Telecommunication Regulatory Authority - NTRA
1553,‏.قطر‎,country-code,Communications Regulatory Authority
1554,.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd."
1555,.இலங்கை,country-code,LK Domain Registry
1556,.இந்தியா,country-code,National Internet Exchange of India
1557,.հայ,country-code,"""Internet Society"" Non-governmental Organization"
1558,.新加坡,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd
1559,‏.فلسطين‎,country-code,Ministry of Telecom & Information Technology (MTIT)
1560,.テスト,test,Internet Assigned Numbers Authority
1561,.政务,generic,China Organizational Name Administration Center
1562,.xperia,generic,Not assigned
1563,.xxx,sponsored,ICM Registry LLC
1564,.xyz,generic,XYZ.COM LLC
1565,.yachts,generic,"DERYachts, LLC"
1566,.yahoo,generic,Yahoo! Domain Services Inc.
1567,.yamaxun,generic,"Amazon Registry Services, Inc."
1568,.yandex,generic,Yandex Europe B.V.
1569,.ye,country-code,TeleYemen
1570,.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD."
1571,.yoga,generic,Minds + Machines Group Limited
1572,.yokohama,generic,"GMO Registry, Inc."
1573,.you,generic,"Amazon Registry Services, Inc."
1574,.youtube,generic,Charleston Road Registry Inc.
1575,.yt,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1576,.yun,generic,QIHOO 360 TECHNOLOGY CO. LTD.
1577,.za,country-code,ZA Domain Name Authority
1578,.zappos,generic,"Amazon Registry Services, Inc."
1579,.zara,generic,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
1580,.zero,generic,"Amazon Registry Services, Inc."
1581,.zip,generic,Charleston Road Registry Inc.
1582,.zippo,generic,Not assigned
1583,.zm,country-code,Zambia Information and Communications Technology Authority (ZICTA)
1584,.zone,generic,"Binky Moon, LLC"
1585,.zuerich,generic,Kanton Zürich (Canton of Zurich)
1586,.zw,country-code,Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)
1587,,.INT Registry,.ARPA Registry
1588,,,
1589,,Time Zone Database,
1590,,Reports,Performance
